"","V101","evangelical"
"1105",161823726,0
"1106",161823728,1
"1107",161823733,0
"1108",161823752,0
"1109",161823764,0
"1110",161823777,0
"1111",161823778,0
"1112",161823779,0
"1113",161823814,0
"1114",161823818,1
"1115",161823849,1
"1116",161823854,0
"1117",161823860,0
"1118",161823880,0
"1119",161823903,0
"1120",161823924,0
"1121",161823946,0
"1122",161823952,0
"1123",161823978,0
"1124",161823997,0
"1125",161824095,0
"1126",161824111,0
"1127",161824135,0
"1128",161824151,0
"1129",161824154,0
"1130",161824184,0
"1131",161824187,0
"1132",161824223,1
"1133",161824243,0
"1134",161824245,0
"1135",161824295,0
"1136",161824321,0
"1137",161824361,1
"1138",161824373,0
"1139",161824375,0
"1140",161824392,0
"1141",161824459,0
"1142",161824490,0
"1143",161824493,0
"1144",161824511,0
"1145",161824517,1
"1146",161824531,0
"1147",161824540,0
"1148",161824553,0
"1149",161824555,0
"1150",161824581,0
"1151",161824587,0
"1152",161824625,0
"1153",161824629,0
"1154",161824646,0
"1155",161824648,0
"1156",161824667,0
"1157",161824686,0
"1158",161824730,0
"1159",161824809,0
"1160",161824915,0
"1161",161824935,1
"1162",161824991,1
"1163",161824998,1
"1164",161825013,0
"1165",161825025,0
"1166",161825037,0
"1167",161825067,0
"1168",161825147,1
"1169",161825240,0
"1170",161825253,0
"1171",161825255,1
"1172",161825266,0
"1173",161825295,0
"1174",161825324,0
"1175",161825335,0
"1176",161825345,0
"1177",161825353,1
"1178",161825359,0
"1179",161825369,0
"1180",161825376,0
"1181",161825377,0
"1182",161825398,0
"1183",161825422,0
"1184",161825448,0
"1185",161825459,0
"1186",161825476,0
"1187",161825489,0
"1188",161825514,0
"1189",161825541,1
"1190",161825556,0
"1191",161825559,0
"1192",161825568,1
"1193",161825572,1
"1194",161825595,0
"1195",161825645,0
"1196",161825661,0
"1197",161825729,1
"1198",161825736,0
"1199",161825748,0
"1200",161825751,0
"1201",161825788,0
"1202",161825837,0
"1203",161825871,0
"1204",161825883,0
"1205",161825890,0
"1206",161825915,0
"1207",161826020,0
"1208",161826154,0
"1209",161826275,1
"1210",161826308,0
"1211",161826362,0
"1212",161826453,1
"1213",161826513,0
"1214",161826526,0
"1215",161826605,0
"1216",161826622,0
"1217",161826874,0
"1218",161826922,0
"1219",161826976,1
"1220",161826995,0
"1221",161827379,0
"1222",161827412,1
"1223",161827601,0
"1224",161827630,1
"1225",161827715,0
"1226",161827757,0
"1227",161827820,0
"1228",161828250,0
"1229",161828501,0
"1230",161828670,1
"1231",161828865,1
"1232",161829677,0
"1233",161829678,0
"1234",161829701,0
"1235",161829708,0
"1236",161829714,0
"1237",161829716,0
"1238",161829729,1
"1239",161829731,1
"1240",161829762,0
"1241",161829794,1
"1242",161829835,0
"1243",161829844,0
"1244",161829854,1
"1245",161829863,1
"1246",161829874,0
"1247",161829909,0
"1248",161829925,0
"1249",161829954,0
"1250",161830017,0
"1251",161830031,0
"1252",161830046,1
"1253",161830055,0
"1254",161830067,0
"1255",161830139,0
"1256",161830222,0
"1257",161830239,1
"1258",161830240,0
"1259",161830241,0
"1260",161830242,0
"1261",161830255,0
"1262",161830287,1
"1263",161830309,0
"1264",161830362,0
"1265",161830395,0
"1266",161830404,1
"1267",161830406,0
"1268",161830482,0
"1269",161830489,0
"1270",161830509,0
"1271",161830520,0
"1272",161830555,0
"1273",161830568,0
"1274",161830590,0
"1275",161830601,0
"1276",161830614,0
"1277",161830636,1
"1278",161830640,1
"1279",161830643,0
"1280",161830653,1
"1281",161830656,0
"1282",161830668,0
"1283",161830681,0
"1284",161830703,1
"1285",161830715,0
"1286",161830825,0
"1287",161830867,0
"1288",161830874,0
"1289",161830921,0
"1290",161830937,0
"1291",161831023,0
"1292",161831024,0
"1293",161831072,0
"1294",161831101,0
"1295",161831134,0
"1296",161831158,0
"1297",161831189,1
"1298",161831221,0
"1299",161831225,0
"1300",161831307,0
"1301",161831361,1
"1302",161831446,0
"1303",161831456,1
"1304",161831536,0
"1305",161831629,0
"1306",161831641,1
